ip,latitude,longitude,label
166.154.6.150,37.36883,-122.03635,solar
166.154.6.156,37.36883,-122.03635,solar
166.154.6.161,37.36883,-122.03635,solar
166.154.6.163,37.36883,-122.03635,solar
166.154.6.164,37.36883,-122.03635,solar
166.154.7.1,37.36883,-122.03635,solar
166.154.77.209,37.36883,-122.03635,solar
166.154.77.214,37.36883,-122.03635,solar
166.154.83.15,37.36883,-122.03635,solar
166.154.83.2,37.36883,-122.03635,solar
166.154.84.218,37.36883,-122.03635,solar
166.154.84.3,37.36883,-122.03635,solar
166.154.88.60,37.36883,-122.03635,solar
166.154.88.65,37.36883,-122.03635,solar
166.154.88.76,37.36883,-122.03635,solar
166.154.90.105,37.36883,-122.03635,solar
166.154.90.108,37.36883,-122.03635,solar
166.154.90.113,37.36883,-122.03635,solar
166.154.90.125,37.36883,-122.03635,solar
166.154.90.132,37.36883,-122.03635,solar
166.154.90.148,37.36883,-122.03635,solar
166.154.90.96,37.36883,-122.03635,solar
166.154.90.97,37.36883,-122.03635,solar
166.154.90.98,37.36883,-122.03635,solar
166.154.90.99,37.36883,-122.03635,solar
166.154.99.165,37.36883,-122.03635,solar
166.161.132.227,37.36883,-122.03635,solar
166.161.136.253,37.36883,-122.03635,solar
166.161.146.12,37.36883,-122.03635,solar
166.161.147.251,37.36883,-122.03635,solar
166.161.171.125,37.36883,-122.03635,solar
166.161.171.126,37.36883,-122.03635,solar
166.161.171.51,37.36883,-122.03635,solar
166.161.171.65,37.36883,-122.03635,solar
166.161.171.66,37.36883,-122.03635,solar
166.161.171.68,37.36883,-122.03635,solar
166.161.172.173,37.36883,-122.03635,solar
166.161.173.207,37.36883,-122.03635,solar
166.161.180.107,37.36883,-122.03635,solar
166.161.180.109,37.36883,-122.03635,solar
166.161.180.110,37.36883,-122.03635,solar
166.161.180.13,37.36883,-122.03635,solar
